Location,Burrito,Neighborhood,Address,Yelp,Google,Cost
Albertacos,California ,San Marcos,500 W San Marcos Blvd # 103,3.5,3.9,5.7
Albertacos,Carne asada,San Marcos,500 W San Marcos Blvd # 103,3.5,3.9,5.25
Burros and Fries,California,Clairemont,4705 Clairemont Dr,3.5,4.1,6.89
Burros and Fries,Carne asada,Clairemont,4705 Clairemont Dr,3.5,4.1,6.89
Burros and Fries,Shrimp california,Clairemont,4705 Clairemont Dr,3.5,4.1,6.99
Burros and Fries,California,Clairemont,4705 Clairemont Dr,3.5,4.1,7.19
Caliente Mexican Food,carne asada ,Sorrento Valley,11815 Sorrento Valley Rd,3.5,4.4,5.56
Caliente Mexican Food,carne asada ,Sorrento Valley,11815 Sorrento Valley Rd,3.5,4.4,5.56
Caliente Mexican Food,fried fish,Sorrento Valley,11815 Sorrento Valley Rd,3.5,4.4,5.56
Caliente Mexican Food,California,Sorrento Valley,11815 Sorrento Valley Rd,3.5,4.4,6.47
California Burrito Company,Dave's California,Miramar,6912 Miramar Rd,3.5,4.4,6.5
California Burrito Company,California,Miramar,6912 Miramar Rd,3.5,4.4,5.5
California Burrito Company,California,Miramar,6912 Miramar Rd,3.5,4.4,5.5
California Burrito Company,Fajitas ,Miramar,6912 Miramar Rd,3.5,4.4,6.5
California Burrito Company,California ,Miramar,6912 Miramar Rd,3.5,4.4,5.5
California Burritos,California Everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,California Everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,California Everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,Chile relleno and carnitas,Linda Vista,7754 Starling Dr,4.5,4.4,6.5
California Burritos,California (only cheese),Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,California Everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,California Everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,California Everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,California Everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,California Everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,Carnitas,Linda Vista,7754 Starling Dr,4.5,4.4,5.5
California Burritos,Carne asada everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,Carne asada everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
California Burritos,Carne asada everything,Linda Vista,7754 Starling Dr,4.5,4.4,6.25
Cancun Mexican & Seafood,California,Encinitas,1766 N Coast Hwy,4.5,4.1,6.99
Cancun Mexican & Seafood,Machaca,Encinitas,1766 N Coast Hwy,4.5,4.1,5.99
Cancun Mexican & Seafood,Adobada,Encinitas,1766 N Coast Hwy,4.5,4.1,6.45
Cancun Mexican & Seafood,California,Encinitas,1766 N Coast Hwy,4.5,4.1,6.99
Cancun Mexican & Seafood,California ,Encinitas,1766 N Coast Hwy,4.5,4.1,6.99
Cancun Mexican & Seafood,California ,Encinitas,1766 N Coast Hwy,4.5,4.1,6.99
Carmen's Mexican Food,Adobada,Clairemont,4937 Diane Ave,4.0,4.2,6.5
Carmen's Mexican Food,Carne asada,Clairemont,4937 Diane Ave,4.0,4.2,6.5
Chipotle,Carnitas,Carlsbad,2505 Palomar airport Rd,3.0,4.2,7.15
Chipotle,Custom,Carlsbad,2505 Palomar airport Rd,3.0,4.2,7.0
Colima's Mexican Food,Hawaiian,North park,2302 University Ave,4.0,4.2,6.29
Colima's Mexican Food,Bandido,North park,2302 University Ave,4.0,4.2,6.49
Colima's Mexican Food,Bandido,North park,2302 University Ave,4.0,4.2,6.49
Colima's Mexican Food,Colimas burrito,North park,2302 University Ave,4.0,4.2,8.25
Cortez Mexican Food,California ,Bonsall,5517 Mission Rd,4.2,4.0,6.25
Cotixan,California,Clairemont,4370 Genessee Ave,4.0,4.0,7.19
Cotixan,California,Clairemont,4370 Genessee Ave,4.0,4.0,6.9
Don Carlos Taco Shop,California,La Jolla,737 Pearl St,4.0,4.5,7.75
Don Carlos Taco Shop,California,La Jolla,737 Pearl St,4.0,4.5,7.75
Donato's Taco Shop,California ,Miramar,6780 Miramar Rd,3.5,4.2,6.49
Donato's Taco Shop,Al pastor ,Miramar,6780 Miramar Rd,3.5,4.2,5.99
Donato's Taco Shop,Carne asada,Miramar,6780 Miramar Rd,3.5,4.2,5.99
El Cuervo,California ,Hillcrest,110 Washington St,4.0,4.3,6.95
El Cuervo,Pollo adobado,Hillcrest,110 Washington St,4.0,4.3,5.95
El Dorado Mexican Food,California,Temecula,29000 Old Town Front St,4.5,4.0,6.94
El Dorado Mexican Food,Super,Temecula,29000 Old Town Front St,4.5,4.0,6.94
El Dorado Mexican Food,California,Temecula,29000 Old Town Front St,4.5,4.0,7.4
El Dorado Mexican Food,California,Temecula,29000 Old Town Front St,4.5,4.0,7.4
El Indio,California,San Diego,3695 India St,3.5,3.9,7.84
El Nopalito ,Especial ,Encinitas,582 Santa Fe Dr,4.0,4.0,4.87
El Nopalito ,Ranchero steak,Encinitas,582 Santa Fe Dr,4.0,4.0,4.87
El Pollo Loco,Chicken avocado,Oceanside,3500 College Blvd,3.5,4.1,5.99
El Portal Fresh Mexican Grill,Mahi,Clairemont,4101 Genesee Ave,4.0,4.4,7.35
El Portal Fresh Mexican Grill,Carnitas,Clairemont,4101 Genesee Ave,4.0,4.4,6.7
El Pueblo Mexican Food,California,Cardiff ,820 Birmingham Dr,4.0,4.7,4.99
El Rey Moro,California Surf,Clairemont,4471 Clairemont Mesa Blvd,4.0,3.8,9.19
El Rey Moro,Hashbrown,Clairemont,4471 Clairemont Mesa Blvd,4.0,3.8,6.47
El Rey Moro,Hashbrown,Clairemont,4471 Clairemont Mesa Blvd,4.0,3.8,8.94
El Torrito Foods,Asada,Vista,249 Emerald Dr,4.0,4.4,5.49
El Torrito Foods,Adobada,Vista,249 Emerald Dr,4.0,4.4,3.99
El Zarape,California,University Heights,4642 Park Blvd,4.0,4.4,6.25
El Zarape,California chicken,University Heights,4642 Park Blvd,4.0,4.4,6.25
El Zarape,Azteca,University Heights,4642 Park Blvd,4.0,4.4,6.25
El Zarape,Lobster,University Heights,4642 Park Blvd,4.0,4.4,9.5
El Zarape,Surf and Turf,University Heights,4642 Park Blvd,4.0,4.4,7.0
El Zarape,California,University Heights,4642 Park Blvd,4.0,4.4,6.25
El Zarape,California,University Heights,4642 Park Blvd,4.0,4.4,6.25
El Zarape,California,University Heights,4642 Park Blvd,4.0,4.4,6.25
El Zarape,Carne asada supreme,University Heights,4642 Park Blvd,4.0,4.4,6.25
Famoso Mexican Street Food,Cali Diablo,Downtown,815 C St,4.5,3.9,10.5
Filiberto's,Adobada,Encinitas,476 S Coast Hwy 101,3.0,3.8,6.25
Filiberto's,California,Encinitas,476 S Coast Hwy 101,3.0,3.8,6.25
Gloria's Taco Shop,California ,South Park,1233 28th St,4.0,4.3,5.65
Gloria's Taco Shop,Cabeza,South Park,1233 28th St,4.0,4.3,5.49
Goody's,Custom,La Jolla,Marshall College,3.5,4.1,7.25
Goody's,Custom,La Jolla,Marshall College,3.5,4.1,8.0
Goody's,Custom,La Jolla,Marshall College,3.5,4.1,8.0
Goody's,Carne Asada,La Jolla,Marshall College,3.5,4.1,6.25
Graciela's Taco Shop,Adobada ,Bonita,5047 Central Ave,4.0,4.5,5.99
Graciela's Taco Shop,Barbacoa,Bonita,5047 Central Ave,4.0,4.5,5.99
JV's Mexican Food,Carne Asada,Morena,1112 Morena Blvd,4.0,4.1,6.25
JV's Mexican Food,Surf & Turf,Morena,1112 Morena Blvd,4.0,4.1,9.5
Jorge's Mexicatessen,California ,Encinitas ,267 N El Camino Real,4.0,4.5,5.95
Jorge's Mexicatessen,Chimichanga beef,Encinitas ,267 N El Camino Real,4.0,4.5,5.5
Jose's Taco,California,Oceanside,3910 Vista Way,4.0,3.8,6.1
Juanita's Taco Shop,California ,Encinitas ,290 N Coast Hwy 101,4.0,4.5,5.55
Juanita's Taco Shop,Arizona,Encinitas ,290 N Coast Hwy 101,4.0,4.5,5.55
